year,pop_reference,pop_high,pop_low
2024,8960817,8960817,8960817
2025,9036689,9067083,9006257
2026,9110251,9173280,9046995
2027,9183137,9280089,9085730
2028,9255056,9386909,9122405
2029,9325771,9493334,9156985
2030,9395055,9599209,9189472
2031,9462885,9704335,9219804
2032,9529186,9808603,9247954
2033,9591362,9909472,9271464
2034,9649441,10006799,9290472
2035,9703546,10100696,9304862
2036,9753528,10191103,9314869
2037,9801190,10278612,9323042
2038,9846559,10363278,9329590
2039,9889772,10445181,9334582
2040,9930997,10524398,9338363
2041,9970305,10601103,9340930
2042,10008822,10677145,9342601
2043,10046650,10752673,9343290
2044,10083783,10827763,9343071
2045,10120200,10902348,9342029
2046,10155952,10976491,9340237
2047,10190929,11049999,9337441
2048,10225083,11122927,9333763
2049,10258375,11195312,9329238
2050,10290781,11266993,9323783
2051,10322244,11338011,9317362
2052,10352756,11408382,9309912
2053,10382308,11478061,9301602
2054,10411028,11547263,9292182
2055,10438824,11615942,9281936
2056,10465826,11684103,9270689
2057,10492081,11752073,9258627
2058,10517764,11819868,9245787
2059,10543069,11887581,9232389
2060,10568038,11955257,9218577
2061,10592864,12023079,9204427
2062,10617642,12091017,9189963
2063,10642397,12159096,9175377
2064,10667257,12227302,9160784
2065,10692064,12295755,9145979
2066,10716848,12364274,9131135
2067,10741592,12432914,9116162
2068,10766386,12501645,9100918
2069,10790947,12570492,9085530
2070,10815343,12639415,9069826
2071,10839494,12708390,9053792
2072,10863376,12777274,9037409
2073,10886991,12846239,9020661
2074,10910267,12915117,9003504
2075,10933280,12983820,8986064
